seguridad.fecha_hecho;seguridad.latitud;seguridad.longitud;seguridad.sexo;seguridad.edad;seguridad.estado_civil;seguridad.medio_transporte;seguridad.nivel_academico;seguridad.testigo;seguridad.conducta;seguridad.modalidad;seguridad.conducta_especial;seguridad.arma_medio;seguridad.nombre_barrio;seguridad.codigo_barrio;seguridad.codigo_comuna;seguridad.lugar;seguridad.sede_receptora;seguridad.bien;seguridad.categoria_bien;seguridad.color
01/01/2017 16:00;627.623.616;-7.555.353.312;Hombre;37;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;De celular;Arma de fuego;Campo Valdés No.1;#0410;4;Vía pública;Aranjuez;Celular;Tecnología;Negro
01/01/2017 16:00;621.907.115;-7.560.299.601;Mujer;29;Unión marital de hecho;Taxi;Sin dato;Sin dato;Hurto a persona;Descuido;No;No;La Loma de los Bernal;#1611;16;Vía pública;Belén;Elementos escolares;Elementos escolares;Sin dato
01/01/2017 16:00;621.907.115;-7.560.299.601;Mujer;29;Unión marital de hecho;Taxi;Sin dato;Sin dato;Hurto a persona;Descuido;No;No;La Loma de los Bernal;#1611;16;Vía pública;Belén;Computador;Tecnología;Sin dato
02/01/2017 10:30;624.275.379;-7.554.836.478;Hombre;36;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;A taxista;Arma de fuego;El Pinal;#0810;8;Vía pública;Villa Hermosa;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
02/01/2017 10:30;624.275.379;-7.554.836.478;Hombre;36;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;A taxista;Arma de fuego;El Pinal;#0810;8;Vía pública;Villa Hermosa;Celular;Tecnología;Blanco
02/01/2017 8:30;622.272.947;-7.558.425.274;Hombre;22;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;A taxista;Arma de fuego;Santa Fé;#1504;15;Vía pública;Belén;Peso;Dinero, joyas, piedras preciosas y título valor;Sin dato
03/01/2017 7:00;629.045.179;-7.556.460.824;Hombre;35;Unión marital de hecho;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;Tricentenario;#0510;5;Estación del Metro;Castilla;Billetera;Prendas de vestir y accesorios;Sin dato
03/01/2017 7:00;629.045.179;-7.556.460.824;Hombre;35;Unión marital de hecho;Metro;Sin dato;Sin dato;Hurto a persona;Cosquilleo;Sin dato;No;Tricentenario;#0510;5;Estación del Metro;Castilla;Cédula;Documentos;Sin dato
04/01/2017 15:00;627.210.659;-7.556.045.631;Hombre;26;Soltero(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;Sin dato;Arma de fuego;Brasilia;#0414;4;Vía pública;Aranjuez;Celular;Tecnología;Sin dato
04/01/2017 17:00;620.326.723;-755.593.313;Hombre;52;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma de fuego;El Tesoro;#1409;14;Vía pública;Poblado;Accesorios prendas de vestir;Prendas de vestir y accesorios;Verde
04/01/2017 17:00;620.326.723;-755.593.313;Hombre;52;Casado(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;No;Arma de fuego;El Tesoro;#1409;14;Vía pública;Poblado;Celular;Tecnología;Plata
04/01/2017 15:00;627.210.659;-7.556.045.631;Hombre;26;Soltero(a);Taxi;Sin dato;Sin dato;Hurto a persona;Atraco;Sin dato;Arma de fuego;Brasilia;#0414;4;Vía pública;Aranjuez;Radio;Tecnología;Sin dato
